tid,algo,outlier_rate,missing_rate,seed,duration,fisher_dist,frobenius_rel,err_mu,n_iter,converged
139,MICE + SCM_robust,0.05,0.0,139,0.023096084594726562,2.9104005690717405,0.5430961489963149,0.34253580078291435,,True
140,MICE + SCM_robust,0.05,0.1,140,0.071441650390625,2.91681710940681,0.5145145750641448,0.6475669574342522,,True
141,MICE + SCM_robust,0.05,0.1,141,0.07287025451660156,3.2500913074288817,0.5692646272493188,0.4365530454409321,,True
142,MICE + SCM_robust,0.05,0.1,142,0.07047557830810547,3.146349340872539,0.5510432499453705,0.5095918206179991,,True
143,MICE + SCM_robust,0.05,0.1,143,0.06639957427978516,3.4953660998082983,0.5874855194613887,0.5141863840180637,,True
144,MICE + SCM_robust,0.05,0.1,144,0.05694437026977539,2.9456231216917437,0.5099146325734621,0.5033131874425195,,True
145,MICE + SCM_robust,0.05,0.1,145,0.0718698501586914,3.0565142483165144,0.5529608380287517,0.545041778378949,,True
146,MICE + SCM_robust,0.05,0.1,146,0.08591485023498535,2.975366641689504,0.5601707214225312,0.5468419774242665,,True
147,MICE + SCM_robust,0.05,0.1,147,0.09146785736083984,3.1228068089299064,0.5353433937456195,0.4311693930541726,,True
148,MICE + SCM_robust,0.05,0.1,148,0.045063018798828125,3.6602665791789546,0.6106913547041501,0.7376202772166841,,True
149,MICE + SCM_robust,0.05,0.1,149,0.06427907943725586,3.1816826674201573,0.558840380911186,0.5744163059041509,,True
150,MICE + SCM_robust,0.05,0.1,150,0.04689621925354004,3.552571226272531,0.6074831345560084,0.40443866607316686,,True
151,MICE + SCM_robust,0.05,0.1,151,0.06087994575500488,3.384270447729133,0.5821802153174565,0.6242521004859523,,True
152,MICE + SCM_robust,0.05,0.1,152,0.05839872360229492,3.492629450302293,0.5819585656537365,0.6486947290750978,,True
153,MICE + SCM_robust,0.05,0.1,153,0.046186208724975586,3.485628466346326,0.6041447573398248,0.523575560145586,,True
154,MICE + SCM_robust,0.05,0.1,154,0.047358036041259766,3.4371051671062416,0.5780566736517426,0.6985025983783172,,True
155,MICE + SCM_robust,0.05,0.1,155,0.0456690788269043,3.1615470945867,0.5517389127381302,0.5768231981860552,,True
156,MICE + SCM_robust,0.05,0.1,156,0.10225629806518555,2.83403125683356,0.5301994086350003,0.5062069888533655,,True
157,MICE + SCM_robust,0.05,0.1,157,0.06973004341125488,3.5366669864789544,0.5796585196071661,0.39168532440227527,,True
